ing,taas
A,Aan
Aardvark,Golthiraak
Abacus,Ketokaan
Abandon,Vodein
Abandoner,Vodeiniik
Abandonment,Vodein
Abase,Taargu
Abate,Lumvit
Abatis,Kethey
Abbatial,Brodiiruv
Abbot,Brodiir
Abbreviate,Gemalingraan
Abdicate,Dulgahvon
Abduct,Fusaav
Abductor,Fusaaviik
Abhor,Volor
Abhorrence,Zovolor
Abhorrent,Zovolor
Ability,Vosmaar
Abject,Untaar
Abjure,Duvaat
Ablaze,Yoltaas
Able,Vos
Abnormal,Voqurnen
Abode,Hofkah
Abolish,Obliis
Abolisher,Oblisiik
Abominable,Ahvakiid
Abomination,Ahvakaar
Aboriginal,Diistaak
Abort,Genul
Abortion,Genuld
Abound,Posiil
About,Do
Above,Avok
Abrade,Ahkrol
Abridge,Gemalingraan
Abroad,Utan
Abrupt,Hevkah
Absence,Nusaanom
Absent,Nusaan
Absolute,Thurot
Absoluteness,Thurot
Absolution,Avodalend
Absolve,Avodal
Absorb,Gahnos
Abstain,Forgen
Abstract,Vohahgolt
Absurd,Uzgroleinuv
Absurdity,Uzgrolein
Abundance,Povaas
Abundant,Povaan
Abyss,Vulzid
Abyssal,Vulziden
Academy,Mindaziir
Accelerate,Serom
Accelerator,Seromiik
Accent,Tinviis
Accept,Eim
Acceptable,Viseim
Acceptance,Eimend
Access,Rahnd
Accessible,Virahn
Accident,Redenteyk
Accidental,Redenteykus
Accompany,Enlahvraan
Accomplish,Vinal
Accomplished,Vinalaan
Accomplishment,Vinalend
Accord,Eftiir
According,Fodos
Account,Tal
Accountable,Vahlokeyvaal
Accredit,Mahnad
Accumulate,Deyvaaz
Accuracy,Wahzaalom
Accurate,Wahzaal
Accursed,Duraal
Accusation,Noraas
Accuse,Noraas
Accustom,Bahwun
Ache,Hod
Achievable,Vikurahiv
Achieve,Kurahiv
Achievement,Kurahivend
Aching,Hodaal
Achy,Hodaal
Acid,Veik
Acidic,Veikus
Acknowledge,Eimindah
Acknowledgement,Eimindak
Acolyte,Kiibokaar
Acorn,Ahkriis
Acoustic,Honuv
Acquaint,Malmind
Acquaintance,Hefahdon
Acquire,Ofaal
Acquisition,Ofaalend
Acre,Himkah
Across,Yaav
Acryllic,Sehburuk
Act,Kosov
Act,Dren
Action,Dren
Activate,Drunkoros
Active,Drenaal
Actor,Droliik
Actual,Saad
Actuality,Saadom
Acute,Aas
Adapt,Iinvak
Adaptability,Visiinvak
Adaptable,Visiinvak
Add,Ter
Addict,Brutuliik
Addicted,Brutul
Addiction,Brutul
Addition,Ter
Additional,Siizuk
Address,Hofkiin-Tokaan
Adept,Seirakmun
Adhere,Kliif
Adhesive,Hokaalus
Adhesive,Hokaalvoth
Adjacent,Boriigaar
Adjust,Malvuld
Administrate,Kahroliin
Administration,Kroskinbok
Administrator,Kahroliniik
Admiral,Okaazin
Admiration,Balaas
Admire,Balaas
Admit,Onvok
Admonish,Vormung
Adopt,Nebenviing
Adorable,Qiib
Adoration,Elskahend
Adore,Elskah
Adorn,Setjah
Adornment,Setjahl
Adrenaline,Kopraamul
Adult,Naraan
Adultery,Ahvaruz
Advance,Ativut
Advancement,Ativut
Advantage,Krantok
Adventure,Bovit
Adventurer,Bovitaan
Adventurous,Bovitaal
Adversarial,Paalus
Adversary,Paalikot
Advice,Tolaas
Advise,Tolaas
Adviser,Tolasiik
Advisor,Tolasiik
Aedra,Eyra
Aedric,Eyruv
Aerial,Lokuv
Aerobiology,Hahsesulaas
Aerodynamic,Suvohmulhaan
Aether,Lovok
Aetherium,Lovokul
Aetherius,Lovok
Afar,Utan
Affair,Trun
Affect,Droz
Affection,Pruvos
Affectionate,Pruvosaal
Affiliate,Gevoth
Affinity,Sifyaar
Affirm,Daazrii
Afford,Wazul
Affordable,Wazaal
Aflame,Yoltaas
Afloat,Avokdil
Afraid,Faas
Afro,Saakom
After,Mindin
Afterlife,Onlaas
Afternoon,Mindinhefsul
Afterwards,Mindiniv
Again,Ontzos
Against,Wah
Agate,Mulkazaar
Age,Bok
Ageless,Boknu
Agency,Droliikstaad
Agender,Niveiliin
Agent,Droliik
Aggression,Drensepaal
Aggressive,Paalus
Agile,Aas
Agility,Asaar
Agitate,Sturon
Agitation,Sturon
Ago,Vod
Agonize,Gaarfaz
Agony,Vaarnufaaz
Agree,Rolur
Agreeable,Visrolur
Agreement,Krolurend
Agriculture,Fahluzok
Ah,Eh
Ahead,Amvit
Aid,Freyend
Aid,Frey
Aim,Mor
Air,Su
Airborne,Kolok
Aircraft,Geltviing
Airplane,Geltviing
Airport,Sustaal
Airy,Suthus
Ajar,Kadul
Akatosh,Bormah
Akavir,Dovahnor
Alarm,Faast
Alas,Ahrii
Albinism,Sotkelm
Albino,Sotkelm
Album,Lovaasvogil
